City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chara,RU,2021-07-12 23:24:22,56.9064,118.2631,61.7,71,54,2.53
68,Trincomalee,LK,2021-07-12 23:24:22,8.5711,81.2335,80.83,78,100,20.56
69,Flinders,AU,2021-07-12 23:24:23,-34.5833,150.8552,56.05,62,3,4.99
70,Namibe,AO,2021-07-12 23:24:23,-15.1961,12.1522,63.37,77,71,3.42
71,Manavalakurichi,IN,2021-07-12 23:24:23,8.1333,77.3,78.89,80,97,18.68
72,Champerico,GT,2021-07-12 23:24:23,14.3,-91.9167,84.34,74,97,5.37
73,Kavieng,PG,2021-07-12 23:23:11,-2.5744,150.7967,83.82,73,53,16.22
74,Tarakan,ID,2021-07-12 23:24:23,3.3,117.6333,80.1,94,40,2.3
75,Severo-Kurilsk,RU,2021-07-12 23:24:24,50.6789,156.125,54.7,88,82,8.48
76,Saint-Philippe,RE,2021-07-12 23:24:24,-21.3585,55.7679,67.55,77,42,14.45
77,Tautira,PF,2021-07-12 23:24:24,-17.7333,-149.15,86.02,77,20,18.05
78,Lobatse,BW,2021-07-12 23:24:25,-25.2167,25.6667,47.52,29,0,14.34
79,Kapaa,US,2021-07-12 23:24:25,22.0752,-159.319,86.32,74,40,3.0
80,Khandyga,RU,2021-07-12 23:24:25,62.6667,135.6,63.82,56,89,1.86
81,Monrovia,LR,2021-07-12 23:24:25,6.3005,-10.7969,78.57,81,86,10.85
82,Busselton,AU,2021-07-12 23:24:25,-33.65,115.3333,54.05,78,32,21.43
83,Puerto Ayora,EC,2021-07-12 23:24:26,-0.7393,-90.3518,72.43,76,69,10.42
84,Hithadhoo,MV,2021-07-12 23:21:15,-0.6,73.0833,81.37,75,100,3.96
85,Algiers,DZ,2021-07-12 23:24:26,36.7525,3.042,82.22,48,40,4.61
86,Okha,RU,2021-07-12 23:24:26,53.5739,142.9478,61.92,94,100,5.75
87,Xuddur,SO,2021-07-12 23:24:26,4.1213,43.8894,71.42,77,74,22.15
88,Hilo,US,2021-07-12 23:23:48,19.7297,-155.09,83.28,65,40,11.5
89,Labuhan,ID,2021-07-12 23:24:27,-6.8844,112.2051,75.83,87,36,9.4
90,Vanimo,PG,2021-07-12 23:24:27,-2.6741,141.3028,81.84,77,45,7.31
91,Ribeira Grande,PT,2021-07-12 23:24:27,38.5167,-28.7,68.74,73,39,8.3
92,Pevek,RU,2021-07-12 23:24:28,69.7008,170.3133,41.22,84,29,3.11
