City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Velasco Ibarra,EC,81.82,overcast clouds,-1.05,-79.6167,White Room Studio
250,Sorong,ID,77.59,overcast clouds,-0.8833,131.25,waigo splash hotel
256,Nikolskoye,RU,76.89,few clouds,59.7035,30.7861,Tourist House - Sablino
257,Wenling,CN,80.91,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
264,Salvador,SV,87.04,few clouds,13.8333,-88.9167,Chico's Ranch
267,Kenora,CA,84.78,few clouds,49.8167,-94.4337,Maynard Lake Lodge
268,Singaraja,ID,76.39,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
270,Halifax,CA,80.42,broken clouds,44.6453,-63.5724,Hotel Halifax
271,Yoichi,JP,79.61,overcast clouds,43.2039,140.7703,Marumatta Farm 21
272,Kirakira,SB,83.28,scattered clouds,-10.4544,161.9205,SanBiz Lodge
277,Malindi,KE,76.46,scattered clouds,-3.2175,40.1191,African House Resort
279,Bandarbeyla,SO,76.03,broken clouds,9.4942,50.8122,JABIR HOTEL
280,Coos Bay,US,86.85,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
282,Balabac,PH,81.03,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
284,Athmallik,IN,79.21,broken clouds,20.7219,84.5348,"Mishra resident and Advocate chamber,Bangalasahi,Athamallik,Angul"
285,North Bend,US,76.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
292,Makakilo City,US,88.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
301,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
308,Guerrero Negro,MX,77.25,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
312,Trinidad,BO,79.11,clear sky,-14.8333,-64.9,Hotel Piesta
314,Matara,LK,78.93,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
316,Linden,GY,84.34,broken clouds,6.0,-58.3,Crimson Bat Hotel
317,Tezu,IN,76.96,overcast clouds,27.9167,96.1667,Circuit House
324,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
325,Puerto Escondido,MX,86.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
328,Areia Branca,BR,80.44,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
329,Samarai,PG,80.71,broken clouds,-10.6167,150.6667,Nuli Sapi
333,Acapulco,MX,75.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
334,Marsh Harbour,BS,82.45,clear sky,26.5412,-77.0636,Abaco Beach Resort
345,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
350,Kantunilkin,MX,87.64,overcast clouds,21.0917,-87.45,Posada Paraiso
356,Temeni,GR,76.89,clear sky,38.2333,22.1167,Balcony to Waves
358,Polson,US,88.41,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
367,Altamont,US,84.88,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
371,Namakkal,IN,75.34,moderate rain,11.2213,78.1652,Hotel Coastal Residency
375,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
376,Formosa Do Rio Preto,BR,75.87,scattered clouds,-11.0483,-45.1931,Porto Center Hotel
378,Maubin,MM,78.96,overcast clouds,16.7333,95.65,SSB office
379,Kuala Selangor,MY,79.59,light rain,3.35,101.25,Apps Hotel
381,Iralaya,HN,82.89,clear sky,15.0,-83.2333,Iglesia morava renovada
383,Phan Thiet,VN,76.6,broken clouds,10.9333,108.1,Hotel Saigon-PT
386,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
392,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
395,Varadero,CU,84.96,clear sky,23.1536,-81.2514,Hotel Tuxpan Varadero
397,Buala,SB,83.17,light rain,-8.145,159.5921,Maringe Lagoon Lodge
400,Luis Correia,BR,79.43,few clouds,-2.8792,-41.6669,Hotel Amarração
402,Rapar,IN,87.04,overcast clouds,23.5667,70.6333,Dharamshi Bapa’s Home
406,Dunmore Town,BS,82.0,clear sky,25.5,-76.65,Coral Sands Hotel
412,Thompson,CA,77.16,smoke,55.7435,-97.8558,Burntwood Hotel
417,Faanui,PF,80.08,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
423,Piste,MX,87.21,broken clouds,20.7,-88.5833,Hotel Villas Arqueologicas Chichen Itza
425,Pathein,MM,76.89,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
428,Wajima,JP,78.78,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
433,Rumford,US,84.06,broken clouds,44.5537,-70.5509,coastal rentals llc
439,Kenai,US,78.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
442,Kibala,TD,76.95,few clouds,9.1104,18.3463,hotel safari
451,Nabire,ID,75.16,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
452,Alugan,PH,77.56,overcast clouds,12.2188,125.4808,JM Lodge
456,Kavaratti,IN,82.58,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
458,Mbour,SN,79.65,overcast clouds,14.422,-16.9638,Tama Lodge
462,Shellbrook,CA,78.03,scattered clouds,53.2168,-106.4011,Shellbrook Hotel
463,Bol,TD,80.76,few clouds,13.4586,14.7147,Hotel 3 Etoiles
466,Jinchang,CN,75.45,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
468,Carutapera,BR,76.3,scattered clouds,-1.195,-46.02,Lidera
469,Jawa,JO,82.71,clear sky,31.8525,35.9393,دار الحاج عبدالله ابو صعيليك واولاده
473,Cockburn Town,TC,81.61,clear sky,21.4612,-71.1419,Osprey Beach Hotel
474,Saratoga Springs,US,84.99,broken clouds,43.0831,-73.7846,"Holiday Inn Saratoga Springs, an IHG Hotel"
480,Palmer,US,86.92,broken clouds,42.1584,-72.3287,Wedgewood Motel
487,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
488,Buchanan,LR,76.12,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
489,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
496,Basco,PH,83.39,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
498,Dingle,PH,75.83,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
503,Sainte-Rose,GP,84.24,broken clouds,16.3324,-61.6979,Villa - Duzer
505,Assare,BR,78.89,scattered clouds,-6.8744,-39.875,José Xavier de Andrade
506,Callaway,US,88.99,few clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
508,Iwanai,JP,75.69,scattered clouds,42.9744,140.5089,いわない高原ホテル
509,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
513,Jacareacanga,BR,87.1,broken clouds,-6.2222,-57.7528,Casa do Ian😎
519,Pacific Grove,US,88.02,broken clouds,36.6177,-121.9166,Lovers Point Inn
521,Sur,OM,83.35,broken clouds,22.5667,59.5289,Sur Plaza Hotel
533,Tofield,CA,75.04,few clouds,53.3668,-112.6686,Tofield Hotel
538,Naze,JP,79.72,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
547,Sao Felix Do Xingu,BR,84.02,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
548,Lewiston,US,85.35,clear sky,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
553,Iquitos,PE,89.64,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
556,Jiaojiang,CN,81.0,overcast clouds,28.6803,121.4428,Jiaojiang Hotel
558,Miranda,CO,80.73,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
563,Fuxin,CN,75.51,overcast clouds,42.0156,121.6589,Xinya International Hotel
566,Dibulla,CO,80.35,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
567,Balud,PH,78.76,overcast clouds,10.1476,123.6953,Pulchra Resort
573,Damaturu,NG,80.82,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
579,Beruwala,LK,79.12,broken clouds,6.4788,79.9828,The Palms Hotel
580,Begunitsy,RU,75.49,few clouds,59.5855,29.3176,"Baza Otdykha ""Uyutnyy Dvorik"""
585,Wilmington,US,87.98,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
587,Barpeta,IN,80.69,overcast clouds,26.3167,91.0,MJ GUEST HOUSE
592,Sabha,LY,89.8,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
593,Sioux Lookout,CA,86.38,smoke,50.1001,-91.917,Knobby's Fly-In Camps
594,Taitung,TW,79.07,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
597,Corinto,GR,84.76,clear sky,37.9407,22.9573,Ephira Hotel
600,Izumo,JP,80.55,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
603,Kieta,PG,84.58,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
604,Cairo,EG,86.76,clear sky,30.0626,31.2497,Grand Hotel
610,Siderno,IT,78.4,clear sky,38.2779,16.302,Grand Hotel President
613,Robertsport,LR,77.63,moderate rain,6.7533,-11.3686,Kwepunha Retreat
616,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
617,Huangmei,CN,78.73,moderate rain,30.1924,116.025,Tianxiachan Hotel
620,Porto Novo,BJ,78.62,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
624,Ratangarh,IN,89.24,overcast clouds,28.0833,74.6,Hotel Shri Laxmi Palace
625,Axim,GH,76.42,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
626,Sinnamary,GF,78.57,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
629,Puerto Carreno,CO,78.12,broken clouds,6.189,-67.4859,Casa Hotel Victoria
631,Port Blair,IN,80.62,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
633,Iranshahr,IR,87.4,overcast clouds,27.2025,60.6848,پلکه بزرگ
