City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Mitsamiouli,KM,-11.3847,43.2844,77.04,66,60,10.74,broken clouds
81,Suruc,TR,36.9761,38.425,89.8,21,30,4.72,scattered clouds
82,Bengkulu,ID,-3.8004,102.2655,76.51,81,71,3.98,broken clouds
83,Zyryanka,RU,65.75,150.85,59.11,83,100,4.65,light rain
84,Sisimiut,GL,66.9395,-53.6735,50.72,65,0,4.9,clear sky
85,Vila Velha,BR,-20.3297,-40.2925,73.76,83,0,11.21,clear sky
86,East London,ZA,-33.0153,27.9116,58.28,23,0,6.49,clear sky
87,Hokitika,NZ,-42.7167,170.9667,56.5,88,100,13.78,overcast clouds
88,Belyy Yar,RU,53.6039,91.3903,60.69,94,40,0.0,light intensity shower rain
89,Torbay,CA,47.6666,-52.7314,72.88,82,100,10.25,overcast clouds
90,Fortuna,US,40.5982,-124.1573,83.19,69,20,8.01,few clouds
91,Nome,US,64.5011,-165.4064,50.07,77,90,9.22,overcast clouds
92,Strezhevoy,RU,60.7333,77.5889,53.58,88,100,3.8,overcast clouds
93,Port Hedland,AU,-20.3167,118.5667,51.85,54,19,6.91,few clouds
94,Whitianga,NZ,-36.8333,175.7,60.03,90,100,24.92,overcast clouds
95,Vaini,TO,-21.2,-175.2,78.96,89,75,9.22,broken clouds
96,Sept-Iles,CA,50.2001,-66.3821,72.25,57,6,7.0,clear sky
97,Aktau,KZ,43.65,51.2,72.18,49,0,6.42,clear sky
98,Arraial Do Cabo,BR,-22.9661,-42.0278,71.6,87,83,12.93,broken clouds
99,Dhidhdhoo,MV,6.8833,73.1,81.7,79,19,11.39,few clouds
100,Tura,IN,25.5198,90.2201,74.08,98,99,6.13,overcast clouds
101,Broome,US,42.2506,-75.833,78.17,81,1,1.99,clear sky
102,Gorontalo,ID,0.5412,123.0595,74.59,95,100,4.74,heavy intensity rain
103,Cheney,US,47.4874,-117.5758,86.76,30,0,14.0,clear sky
104,Husavik,IS,66.0449,-17.3389,48.65,95,100,12.33,light rain
105,Sistranda,NO,63.7256,8.834,58.96,85,71,28.7,broken clouds
106,Sunbury,AU,-37.5833,144.7333,45.12,81,40,7.0,scattered clouds
107,Panguna,PG,-6.3164,155.4848,76.23,75,100,2.93,overcast clouds
108,Quatre Cocos,MU,-20.2078,57.7625,71.1,73,50,15.35,light rain
109,Hilo,US,19.7297,-155.09,95.29,61,90,10.36,overcast clouds
110,Mayskiy,RU,47.6931,40.1025,78.44,75,58,5.75,broken clouds
111,Batagay,RU,67.6333,134.6333,66.29,38,88,3.65,overcast clouds
112,Geraldton,AU,-28.7667,114.6,55.81,94,90,5.75,overcast clouds
113,Upata,VE,8.0086,-62.3989,81.19,91,85,5.39,overcast clouds
114,Dikson,RU,73.5069,80.5464,34.77,92,100,7.85,overcast clouds
115,Bay Roberts,CA,47.5999,-53.2648,73.65,79,94,7.0,overcast clouds
116,Kaitangata,NZ,-46.2817,169.8464,47.26,95,98,1.05,overcast clouds
117,Arzgir,RU,45.3728,44.2206,84.6,30,95,10.6,overcast clouds
118,Port Elizabeth,ZA,-33.918,25.5701,56.62,32,0,7.49,clear sky
119,Chardara,KZ,41.2547,67.9692,67.28,81,92,7.63,overcast clouds
120,Stornoway,GB,58.2093,-6.3865,59.94,94,95,9.22,overcast clouds
121,Waipawa,NZ,-41.4122,175.5153,55.45,87,100,19.35,overcast clouds
122,Taksimo,RU,56.3444,114.8794,66.96,68,2,0.65,clear sky
123,Craig,US,40.5153,-107.5464,86.99,16,20,3.44,few clouds
